Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,57,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Salicornia virginica,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",3NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,78NA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,58,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Salicornia bigelovii,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",3NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,95NA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,59,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Batis maritima,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",3NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,76NA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,60,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Frankenia salina,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",3NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,22NA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,61,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Suaeda esteroa,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",3NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,29NA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,62,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Triglochin concinna,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",3NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,35NA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,63,"Lindig-Cisneros R, Zedler JB (2002) Halophyte recruitment in a salt marsh restoration siteNA Estuaries 25:1174-1183",journal,2002,1997-2000,NA,primary,"One shore of the marsh plain (10 x 100 m) was excavated by bulldozer to caNA 75–120 cm National Geodetic Vertical Datum from disturbed uplandNA During spring 1997, a randomized block experiment was set up with 87 plots (2 x 2 m) distributed caNA 70 cm apart among five blocksNA The site was planted during spring 1997NA The planting density was 90 plants per plot on a 20-cm gridNA Seedlings of all species present in all plots were counted at intervals in 1998 and in fall of 1999 and 2000NA","Construction, planting saltmarsh",Limonium californicum,"Tijuana River National Estuarine Research Reserve, Tijuana
Estuary, Southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"We thank Conacyt for their support through scholarship number 89253 to RNA Lindig-CisnerosNA This research was supported in part by a grant from the National Science Foundation (DEB 96-19875) to JNA BNA Zedler, JNA Callaway, and GNA SullivanNA",3NA5,0.00,NA,1997.00,NA,NA,NA,NA,NA,49NA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,64,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$ 22,293 for planning,  $ 231,834 for construction, and  $ 100,316 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,1NA619,354442.00,2001.00,218961.00,269648.00,269648.00,269648.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,65,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$ 3,025 for planning,  $ 18,153 for construction, and  $ 3,025 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,1NA619,24203.00,2001.00,14952.00,18413.00,18413.00,18413.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,66,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$ 12,100 for planning,  $ 100,447 for construction, and  $ 3,268 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,4NA047,115814.00,2001.00,28618.00,35243.00,35243.00,35243.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,67,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$ 2,892 for planning,  $ 21,851 for construction, and  $ 2,892 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,5NA666,27635.00,2001.00,4878.00,6007.00,6007.00,6007.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,68,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$  0 for planning,  $ 404,541 for construction, and  $ 0 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,8NA094,404541.00,2001.00,49982.00,61552.00,61552.00,61552.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,69,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$ 35,129 for planning,  $ 282,737 for construction, and  $ 2,295 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,8NA094,320162.00,2001.00,39557.00,48714.00,48714.00,48714.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,70,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$ 3,919 for planning,  $ 25,633 for construction, and  $ 3,919 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,8NA903,33472.00,2001.00,3760.00,4630.00,4630.00,4630.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
